division,formula,paper,params,status,t_stat,secs,n_trades,years,trades_per_year,win_rate,avg_ret_gross_bps,avg_ret_net_bps,avg_cost_bps,payoff_ratio,profit_factor,expectancy_bps,sharpe_ann,total_return,max_drawdown,avg_hold_bars,avg_hold_hours,tp_hits,sl_hits,time_exits,champion
D3_DOM,B04_microprice,Stoikov 2018 QF,{'k': 1},ok,-0.199,2.4,284,0.71,400.5,0.5,-5.16,-14.27,9.11,0.971,0.971,-14.27,-0.237,-0.0796,-0.2627,527.9,132.0,74,62,148,False
D3_DOM,B19_micro_x_qi,Stoikov 2018 + Cont et al 2014,{'k': 3},ok,-0.218,2.0,296,0.71,419.1,0.4932,-6.25,-15.31,9.06,0.996,0.97,-15.31,-0.26,-0.0863,-0.289,496.5,124.1,77,75,144,False
D3_DOM,B11_depth_shock,Foucault-Kadan-Kandel 2005 RFS,"{'k': 6, 'n': 96}",ok,-0.647,1.5,265,0.71,373.6,0.4679,-37.45,-46.54,9.09,1.033,0.908,-46.54,-0.769,-0.1668,-0.236,515.0,128.8,62,69,134,False
D3_DOM,B06_book_slope,Kalay-Sade-Wohl 2004 JFE,{'k': 3},ok,-0.988,1.4,208,0.7,297.3,0.4712,-79.89,-88.33,8.45,0.955,0.851,-88.33,-1.181,-0.2265,-0.3661,482.7,120.7,55,65,88,False
D3_DOM,B08_withdraw_fade,Hasbrouck-Saar 2009 JFM,{'k': 3},ok,-1.429,2.5,316,0.71,446.5,0.462,-89.74,-98.89,9.15,0.959,0.824,-98.89,-1.699,-0.3483,-0.4468,501.8,125.5,78,95,143,False
D3_DOM,B12_qi_momentum,Cont-Kukanov-Stoikov 2014,{'k': 6},ok,-1.554,3.0,302,0.71,424.2,0.4636,-97.39,-106.57,9.17,0.93,0.804,-106.57,-1.842,-0.3534,-0.4145,516.7,129.2,75,82,145,False
D3_DOM,B17_imb_vol_level,Cont-Cucuringu-Zhang 2021,{'k': 12},ok,-2.484,1.4,195,0.7,278.2,0.4615,-216.32,-225.12,8.8,0.758,0.65,-225.12,-2.967,-0.4367,-0.503,514.7,128.7,42,64,89,False
D4_TAPE,O13_branching,Filimonov-Sornette 2012 PRE,{'n': 96},ok,1.055,1.2,181,1.97,91.8,0.5249,109.13,100.95,8.18,1.091,1.205,100.95,0.751,0.2275,-0.1087,514.5,128.6,50,44,87,False
D4_TAPE,O06_kyle_lambda,Kyle 1985 ECMA,{'n': 48},ok,0.546,1.2,52,0.97,53.6,0.5385,84.75,79.28,5.47,1.03,1.202,79.28,0.554,0.0483,-0.073,483.9,121.0,18,15,19,False
D4_TAPE,O18_realised_vol,Andersen-Bollerslev-Diebold-Labys 2003 ECMA,{'n': 96},ok,0.304,1.1,36,1.7,21.2,0.5833,61.66,53.87,7.79,0.805,1.127,53.87,0.234,0.0214,-0.0548,490.2,122.5,11,9,16,False
D4_TAPE,O08_sign_ac,Lillo-Farmer 2004 SNDE,{'n': 48},ok,1.082,2.8,1004,1.98,506.2,0.4831,48.94,40.5,8.44,1.16,1.084,40.5,0.768,0.4892,-0.4648,484.9,121.2,299,247,458,False
D4_TAPE,O01_ofi,Cont-Kukanov-Stoikov 2014 JFinEc,{'k': 3},ok,1.01,7.4,1112,1.98,560.6,0.5063,44.76,36.36,8.41,1.049,1.075,36.36,0.717,0.4633,-0.3044,489.2,122.3,312,304,496,False
